Price,Make,Model,Year,Color,Kilometer,Transmission,New,Engine_Size,Horsepower,Fuel_Type
52900.0,BMW,520,2019,Ağ,122000,Avtomat,Xeyr,2.0,190,Dizel
42330.0,Hyundai,Sonata,2021,Yaş Asfalt,47500,Avtomat,Xeyr,2.0,165,Benzin
28900.0,Kia,Forte,2020,Ağ,25500,Variator,Xeyr,2.0,170,Benzin
76500.0,Hyundai,Grandeur,2023,Boz,24000,Avtomat,Xeyr,1.6,230,Hibrid
59800.0,Kia,Sportage,2022,Ağ,8200,Avtomat,Xeyr,2.0,185,Dizel
50000.0,Hyundai,Tucson,2023,Yaş Asfalt,49000,Avtomat,Xeyr,2.0,161,Benzin
28900.0,Hyundai,Elantra,2019,Qara,90000,Avtomat,Xeyr,1.6,204,Benzin
48000.0,Hyundai,Tucson,2022,Ağ,14000,Avtomat,Xeyr,1.6,230,Hibrid
66300.0,Mercedes,E 220 d,2019,Qara,53000,Avtomat,Xeyr,2.0,194,Dizel
256700.0,BMW,X7,2024,Qara,0,Avtomat,Bəli,3.0,381,Benzin
24900.0,Hyundai,Elantra,2020,Qara,93000,Avtomat,Xeyr,2.0,150,Benzin
64600.0,BMW,520,2019,Qara,46000,Avtomat,Xeyr,2.0,184,Benzin
85000.0,Hyundai,Santa Fe,2024,Ağ,0,Avtomat,Bəli,1.6,300,Hibrid
42800.0,Hyundai,Sonata,2021,Qara,44000,Avtomat,Xeyr,1.6,183,Benzin
31900.0,Hyundai,Elantra,2021,Qara,35000,Avtomat,Xeyr,2.0,158,Benzin
50133.0,Kia,Sportage,2024,Açıq yaşıl,0,Avtomat,Bəli,2.0,150,Hibrid
25500.0,Hyundai,Elantra,2019,Tünd qırmızı,73500,Avtomat,Xeyr,2.0,150,Benzin
40000.0,Kia,K5,2022,Qara,30000,Avtomat,Xeyr,1.6,180,Benzin
38000.0,Hyundai,Sonata,2021,Boz,53000,Avtomat,Xeyr,2.5,180,Benzin
69700.0,Kia,Sorento,2021,Boz,21000,Avtomat,Xeyr,2.5,180,Benzin
127330.0,BMW,X7,2021,Qara,36250,Avtomat,Xeyr,3.0,340,Benzin
89250.0,Mercedes,E 300 de,2021,Göy,55000,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
30226.0,Hyundai,Elantra,2024,Ağ,0,Variator,Bəli,1.5,115,Benzin
27000.0,Kia,Forte,2020,Yaş Asfalt,67000,Robot,Xeyr,1.6,201,Benzin
101830.0,BMW,X5,2019,Qara,50000,Avtomat,Xeyr,3.0,340,Benzin
44000.0,Kia,Sportage,2020,Ağ,25000,Avtomat,Xeyr,2.0,150,Benzin
60010.0,Hyundai,Sonata,2024,Yaş Asfalt,0,Avtomat,Bəli,2.5,180,Benzin
41500.0,Hyundai,Sonata,2020,Qızılı,165000,Avtomat,Xeyr,1.6,220,Benzin
47000.0,Kia,K5,2021,Göy,114000,Avtomat,Xeyr,2.0,156,Hibrid
47260.0,Hyundai,Sonata,2022,Qara,13700,Avtomat,Xeyr,2.0,192,Hibrid
48500.0,Hyundai,Tucson,2022,Ağ,14000,Robot,Xeyr,1.6,177,Hibrid
121550.0,BMW,X7,2019,Qara,94000,Avtomat,Xeyr,3.0,340,Benzin
31100.0,Hyundai,Elantra,2024,Ağ,0,Avtomat,Bəli,1.5,115,Benzin
50150.0,Hyundai,Sonata,2022,Yaş Asfalt,55000,Avtomat,Xeyr,2.0,150,Benzin
38000.0,Kia,K5,2021,Qara,78000,Avtomat,Xeyr,1.6,180,Benzin
39500.0,Kia,K5,2021,Gümüşü,87000,Avtomat,Xeyr,1.6,183,Benzin
26800.0,Hyundai,Elantra,2019,Göy,75700,Avtomat,Xeyr,2.0,150,Benzin
49000.0,Hyundai,Santa Fe,2020,Ağ,46350,Avtomat,Xeyr,2.0,235,Benzin
149600.0,BMW,X5,2022,Qara,12500,Avtomat,Xeyr,3.0,340,Benzin
23800.0,Hyundai,Elantra,2020,Gümüşü,112976,Avtomat,Xeyr,2.0,150,Benzin
68000.0,Kia,Carnival,2022,Yaş Asfalt,74000,Avtomat,Xeyr,2.2,202,Dizel
39500.0,Hyundai,Elantra,2023,Qara,7000,Avtomat,Xeyr,2.0,150,Benzin
31000.0,Hyundai,Tucson,2019,Göy,135185,Avtomat,Xeyr,2.0,150,Benzin
57500.0,Hyundai,Tucson,2024,Qara,1700,Avtomat,Xeyr,2.0,150,Benzin
78200.0,Hyundai,Grandeur,2024,Yaş Asfalt,400,Avtomat,Xeyr,1.6,230,Hibrid
61200.0,Mercedes,E 220 d,2019,Qara,116000,Avtomat,Xeyr,2.0,292,Hibrid
42500.0,Kia,K5,2021,Boz,51000,Avtomat,Xeyr,1.6,180,Benzin
37800.0,Hyundai,Elantra,2021,Ağ,26743,Avtomat,Xeyr,2.0,150,Benzin
145350.0,Mercedes,GLE 350 4MATIC,2021,Boz,38000,Avtomat,Xeyr,3.0,272,Dizel
101830.0,Mercedes,E 220 d,2021,Qara,24000,Avtomat,Xeyr,2.2,170,Dizel
235450.0,BMW,X7,2023,Qara,7800,Avtomat,Xeyr,3.0,381,Benzin
66130.0,BMW,530,2020,Qara,41000,Avtomat,Xeyr,2.0,249,Benzin
127500.0,BMW,X7,2022,Qara,47273,Avtomat,Xeyr,3.0,381,Benzin
65450.0,BMW,330,2021,Qara,26000,Avtomat,Xeyr,2.0,280,Benzin
26800.0,Hyundai,Elantra,2019,Gümüşü,57000,Avtomat,Xeyr,2.0,150,Benzin
44900.0,Kia,K5,2021,Boz,88000,Avtomat,Xeyr,1.6,180,Benzin
320450.0,Mercedes,G 63 AMG,2019,Qara,70000,Avtomat,Xeyr,4.0,585,Benzin
26900.0,Hyundai,Accent,2020,Ağ,52000,Avtomat,Xeyr,1.6,140,Benzin
24700.0,Hyundai,Elantra,2020,Boz,80000,Avtomat,Xeyr,2.0,150,Benzin
149600.0,Mercedes,GLS 450 4MATIC,2021,Qara,45000,Avtomat,Xeyr,3.0,367,Benzin
187150.0,BMW,X5,2024,Qara,0,Avtomat,Bəli,3.0,381,Benzin
34000.0,Kia,Cerato,2023,Boz,42000,Avtomat,Xeyr,1.6,130,Benzin
28300.0,Hyundai,Elantra,2019,Ağ,102000,Avtomat,Xeyr,2.0,150,Benzin
224403.3,Mercedes,GLS 450 4MATIC,2023,Qara,0,Avtomat,Bəli,3.0,367,Benzin
37060.0,Hyundai,Sonata,2020,Göy,38000,Avtomat,Xeyr,1.6,183,Benzin
28500.0,Kia,Forte,2021,Ağ,57000,Variator,Xeyr,2.0,147,Benzin
41820.0,Hyundai,Sonata,2020,Yaş Asfalt,64000,Avtomat,Xeyr,2.0,192,Hibrid
57700.0,Kia,Sorento,2020,Yaş Asfalt,174000,Avtomat,Xeyr,2.2,207,Dizel
49900.0,Hyundai,Sonata,2022,Qara,22467,Avtomat,Xeyr,2.0,197,Benzin
25900.0,Hyundai,Elantra,2019,Yaş Asfalt,114000,Avtomat,Xeyr,2.0,170,Benzin
87890.0,BMW,530e,2022,Göy,32000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
37000.0,Kia,Sorento,2019,Qara,135000,Avtomat,Xeyr,2.4,188,Benzin
47940.0,Hyundai,Tucson,2024,Ağ,0,Avtomat,Bəli,2.0,150,Benzin
25900.0,Hyundai,Accent,2021,Ağ,80000,Avtomat,Xeyr,1.6,140,Benzin
25800.0,Kia,Forte,2020,Göy,70000,Variator,Xeyr,2.0,147,Benzin
40800.0,Kia,K5,2020,Yaş Asfalt,101000,Avtomat,Xeyr,2.0,150,Benzin
36500.0,Kia,Sportage,2020,Gümüşü,127000,Avtomat,Xeyr,2.0,165,Benzin
84830.0,Kia,Carnival,2023,Boz,28000,Avtomat,Xeyr,2.2,202,Dizel
58900.0,Kia,Sorento,2021,Ağ,55000,Avtomat,Xeyr,1.6,230,Hibrid
96730.0,Mercedes,E 220 d,2021,Boz,39800,Avtomat,Xeyr,2.2,170,Dizel
25000.0,Kia,Forte,2019,Göy,135000,Variator,Xeyr,2.0,147,Benzin
42500.0,Kia,K5,2023,Qara,44444,Avtomat,Xeyr,1.6,180,Benzin
86530.0,BMW,530e,2021,Göy,33000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
78030.0,Mercedes,E 220 d,2020,Qara,99900,Avtomat,Xeyr,2.0,194,Dizel
42500.0,Hyundai,Santa Fe,2019,Ağ,32000,Avtomat,Xeyr,2.0,265,Benzin
46700.0,Kia,Sorento,2019,Yaş Asfalt,122000,Avtomat,Xeyr,2.0,184,Dizel
48800.0,Hyundai,Sonata,2022,Qara,30000,Avtomat,Xeyr,2.0,150,Benzin
23700.0,Hyundai,Accent,2019,Ağ,64000,Avtomat,Xeyr,1.6,125,Benzin
96900.0,BMW,X5,2019,Yaş Asfalt,72000,Avtomat,Xeyr,3.0,340,Benzin
49900.0,Kia,Sorento,2021,Qara,65000,Avtomat,Xeyr,1.6,230,Hibrid
62050.0,Hyundai,Santa Fe,2021,Ağ,9500,Avtomat,Xeyr,1.6,230,Hibrid
101830.0,BMW,X5,2022,Boz,41000,Avtomat,Xeyr,3.0,340,Benzin
37900.0,Hyundai,Elantra,2024,Yaş Asfalt,0,Avtomat,Bəli,1.6,128,Benzin
32000.0,Hyundai,Elantra,2022,Boz,70000,Avtomat,Xeyr,1.6,139,Benzin
30400.0,Hyundai,Elantra,2021,Gümüşü,90000,Avtomat,Xeyr,2.0,150,Benzin
88020.9,BMW,530e,2021,Ağ,35900,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
53550.0,BMW,330,2021,Yaş Asfalt,35000,Avtomat,Xeyr,2.0,258,Benzin
41500.0,Hyundai,Tucson,2022,Gümüşü,44000,Avtomat,Xeyr,1.6,230,Hibrid
33300.0,Kia,K5,2021,Bej,78000,Avtomat,Xeyr,1.6,183,Benzin
39900.0,Hyundai,Sonata,2020,Yaş Asfalt,82000,Avtomat,Xeyr,2.0,150,Benzin
57500.0,Kia,Sorento,2020,Qara,100000,Avtomat,Xeyr,2.2,200,Dizel
64600.0,Kia,Carnival,2021,Qara,124000,Avtomat,Xeyr,2.2,202,Dizel
30500.0,Hyundai,Elantra,2021,Boz,16000,Avtomat,Xeyr,2.0,150,Benzin
